time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-11 00:00:00+00:00,25.0,12.0,460,53
2024-03-12 00:00:00+00:00,17.0,12.0,517,45
2024-03-13 00:00:00+00:00,2.0,2.0,197,49
2024-03-14 00:00:00+00:00,3.0,3.0,161,40
2024-03-15 00:00:00+00:00,3.0,3.0,132,40
2024-03-16 00:00:00+00:00,2.0,2.0,165,21
2024-03-17 00:00:00+00:00,1.0,1.0,33,11
2024-03-18 00:00:00+00:00,4.0,4.0,173,45
2024-03-19 00:00:00+00:00,37.0,15.0,464,65
2024-03-20 00:00:00+00:00,33.0,13.0,437,49
2024-03-21 00:00:00+00:00,27.0,12.0,611,40
2024-03-22 00:00:00+00:00,13.0,8.0,264,35
2024-03-23 00:00:00+00:00,2.0,2.0,97,26
2024-03-24 00:00:00+00:00,,,20,11
