time_iso8601,stars_cumulative
2023-06-20 00:00:00+00:00,1
2023-07-03 00:00:00+00:00,2
2023-07-04 00:00:00+00:00,3
2023-07-05 00:00:00+00:00,4
2023-07-09 00:00:00+00:00,5
2023-07-10 00:00:00+00:00,6
2023-07-11 00:00:00+00:00,7
2023-07-19 00:00:00+00:00,8
2023-07-20 00:00:00+00:00,9
2023-07-21 00:00:00+00:00,10
2023-07-22 00:00:00+00:00,11
2023-07-23 00:00:00+00:00,12
2023-07-25 00:00:00+00:00,14
2023-07-26 00:00:00+00:00,15
2023-07-31 00:00:00+00:00,16
2023-08-02 00:00:00+00:00,19
2023-08-04 00:00:00+00:00,21
2023-08-06 00:00:00+00:00,22
2023-08-08 00:00:00+00:00,23
2023-08-10 00:00:00+00:00,24
2023-08-13 00:00:00+00:00,26
2023-08-14 00:00:00+00:00,27
2023-08-16 00:00:00+00:00,28
2023-08-18 00:00:00+00:00,29
2023-08-21 00:00:00+00:00,30
2023-08-24 00:00:00+00:00,31
2023-08-28 00:00:00+00:00,35
2023-08-30 00:00:00+00:00,38
2023-08-31 00:00:00+00:00,39
2023-09-02 00:00:00+00:00,40
2023-09-04 00:00:00+00:00,42
2023-09-06 00:00:00+00:00,47
2023-09-07 00:00:00+00:00,49
2023-09-08 00:00:00+00:00,51
2023-09-11 00:00:00+00:00,53
2023-09-12 00:00:00+00:00,55
2023-09-13 00:00:00+00:00,57
2023-09-14 00:00:00+00:00,59
2023-09-18 00:00:00+00:00,60
2023-09-19 00:00:00+00:00,61
2023-09-20 00:00:00+00:00,62
2023-09-21 00:00:00+00:00,64
2023-09-22 00:00:00+00:00,65
2023-09-23 00:00:00+00:00,68
2023-09-28 00:00:00+00:00,69
2023-10-05 00:00:00+00:00,70
2023-10-08 00:00:00+00:00,71
2023-10-09 00:00:00+00:00,72
2023-10-17 00:00:00+00:00,73
2023-10-18 00:00:00+00:00,74
2023-10-20 00:00:00+00:00,75
2023-10-22 00:00:00+00:00,76
2023-10-25 00:00:00+00:00,77
2023-10-30 00:00:00+00:00,78
2023-11-02 00:00:00+00:00,81
2023-11-03 00:00:00+00:00,82
2023-11-04 00:00:00+00:00,83
2023-11-07 00:00:00+00:00,88
2023-11-11 00:00:00+00:00,89
2023-11-14 00:00:00+00:00,91
2023-11-16 00:00:00+00:00,92
2023-11-17 00:00:00+00:00,93
2023-11-19 00:00:00+00:00,94
2023-11-20 00:00:00+00:00,97
2023-11-21 00:00:00+00:00,98
2023-11-22 00:00:00+00:00,101
2023-11-24 00:00:00+00:00,102
2023-11-25 00:00:00+00:00,103
2023-11-27 00:00:00+00:00,106
2023-11-28 00:00:00+00:00,107
2023-12-02 00:00:00+00:00,108
2023-12-04 00:00:00+00:00,109
2023-12-08 00:00:00+00:00,111
2023-12-09 00:00:00+00:00,112
2023-12-11 00:00:00+00:00,114
2023-12-12 00:00:00+00:00,115
2023-12-14 00:00:00+00:00,117
2023-12-15 00:00:00+00:00,121
2023-12-16 00:00:00+00:00,123
2023-12-17 00:00:00+00:00,125
2023-12-20 00:00:00+00:00,126
2023-12-21 00:00:00+00:00,128
2023-12-22 00:00:00+00:00,130
2023-12-23 00:00:00+00:00,131
2023-12-25 00:00:00+00:00,135
2023-12-26 00:00:00+00:00,136
2023-12-29 00:00:00+00:00,137
2024-01-02 00:00:00+00:00,139
2024-01-03 00:00:00+00:00,141
2024-01-05 00:00:00+00:00,145
2024-01-06 00:00:00+00:00,147
2024-01-07 00:00:00+00:00,148
2024-01-08 00:00:00+00:00,151
2024-01-09 00:00:00+00:00,153
2024-01-10 00:00:00+00:00,154
2024-01-11 00:00:00+00:00,156
2024-01-12 00:00:00+00:00,157
2024-01-14 00:00:00+00:00,158
2024-01-16 00:00:00+00:00,159
2024-01-17 00:00:00+00:00,160
2024-01-19 00:00:00+00:00,161
2024-01-23 00:00:00+00:00,163
2024-01-25 00:00:00+00:00,164
2024-01-26 00:00:00+00:00,165
2024-01-29 00:00:00+00:00,166
2024-02-01 00:00:00+00:00,167
2024-02-02 00:00:00+00:00,168
2024-02-05 00:00:00+00:00,172
2024-02-06 00:00:00+00:00,173
2024-02-08 00:00:00+00:00,174
2024-02-11 00:00:00+00:00,175
2024-02-14 00:00:00+00:00,176
2024-02-19 00:00:00+00:00,177
2024-02-21 00:00:00+00:00,179
2024-02-22 00:00:00+00:00,181
2024-02-23 00:00:00+00:00,183
2024-02-25 00:00:00+00:00,186
2024-02-26 00:00:00+00:00,188
2024-02-27 00:00:00+00:00,190
2024-02-29 00:00:00+00:00,191
2024-03-01 00:00:00+00:00,192
2024-03-02 00:00:00+00:00,196
2024-03-04 00:00:00+00:00,199
2024-03-05 00:00:00+00:00,201
2024-03-10 00:00:00+00:00,202
2024-03-13 00:00:00+00:00,204
2024-03-15 00:00:00+00:00,205
2024-03-20 00:00:00+00:00,207
2024-03-22 00:00:00+00:00,208
2024-03-23 00:00:00+00:00,209
2024-03-24 00:00:00+00:00,210
2024-03-31 00:00:00+00:00,212
2024-04-01 00:00:00+00:00,213
2024-04-09 00:00:00+00:00,216
2024-04-12 00:00:00+00:00,217
2024-04-15 00:00:00+00:00,220
2024-04-16 00:00:00+00:00,222
2024-04-17 00:00:00+00:00,224
2024-04-18 00:00:00+00:00,226
2024-04-19 00:00:00+00:00,227
2024-04-20 00:00:00+00:00,228
2024-04-21 00:00:00+00:00,229
2024-04-22 00:00:00+00:00,231
2024-04-25 00:00:00+00:00,233
2024-04-27 00:00:00+00:00,234
2024-04-28 00:00:00+00:00,235
2024-04-30 00:00:00+00:00,236
2024-05-03 00:00:00+00:00,237
2024-05-07 00:00:00+00:00,238
2024-05-08 00:00:00+00:00,239
2024-05-10 00:00:00+00:00,240
2024-05-11 00:00:00+00:00,241
2024-05-15 00:00:00+00:00,242
2024-05-16 00:00:00+00:00,243
2024-05-17 00:00:00+00:00,244
2024-05-20 00:00:00+00:00,247
2024-05-23 00:00:00+00:00,248
2024-05-24 00:00:00+00:00,249
2024-05-29 00:00:00+00:00,250
2024-05-30 00:00:00+00:00,251
2024-05-31 00:00:00+00:00,252
2024-06-01 00:00:00+00:00,253
2024-06-05 00:00:00+00:00,256
2024-06-06 00:00:00+00:00,260
2024-06-09 00:00:00+00:00,261
2024-06-17 00:00:00+00:00,262
2024-06-18 00:00:00+00:00,263
2024-06-19 00:00:00+00:00,264
2024-06-20 00:00:00+00:00,265
2024-06-21 00:00:00+00:00,266
2024-06-23 00:00:00+00:00,268
2024-06-24 00:00:00+00:00,269
2024-06-25 00:00:00+00:00,270
2024-06-27 00:00:00+00:00,273
2024-06-28 00:00:00+00:00,276
2024-06-29 00:00:00+00:00,277
2024-07-01 00:00:00+00:00,278
2024-07-03 00:00:00+00:00,279
2024-07-08 00:00:00+00:00,280
2024-07-09 00:00:00+00:00,282
2024-07-12 00:00:00+00:00,284
2024-07-14 00:00:00+00:00,285
2024-07-17 00:00:00+00:00,287
2024-07-18 00:00:00+00:00,288
2024-07-19 00:00:00+00:00,290
2024-07-20 00:00:00+00:00,291
2024-07-21 00:00:00+00:00,292
2024-07-22 00:00:00+00:00,293
2024-07-23 00:00:00+00:00,294
2024-07-26 00:00:00+00:00,295
2024-07-29 00:00:00+00:00,296
2024-08-01 00:00:00+00:00,297
2024-08-03 00:00:00+00:00,299
2024-08-07 00:00:00+00:00,300
2024-08-08 00:00:00+00:00,301
2024-08-10 00:00:00+00:00,302
2024-08-12 00:00:00+00:00,304
2024-08-13 00:00:00+00:00,305
2024-08-17 00:00:00+00:00,306
2024-08-19 00:00:00+00:00,307
2024-08-20 00:00:00+00:00,309
2024-08-24 00:00:00+00:00,310
2024-08-25 00:00:00+00:00,311
2024-08-26 00:00:00+00:00,313
2024-09-03 00:00:00+00:00,314
2024-09-08 00:00:00+00:00,315
2024-09-09 00:00:00+00:00,317
2024-09-19 00:00:00+00:00,318
2024-09-20 00:00:00+00:00,319
2024-09-23 00:00:00+00:00,320
2024-09-24 00:00:00+00:00,321
2024-09-25 00:00:00+00:00,323
2024-09-26 00:00:00+00:00,325
2024-09-29 00:00:00+00:00,326
2024-10-10 00:00:00+00:00,327
2024-10-14 00:00:00+00:00,328
2024-10-15 00:00:00+00:00,329
2024-10-16 00:00:00+00:00,330
2024-10-17 00:00:00+00:00,332
2024-10-18 00:00:00+00:00,335
2024-10-19 00:00:00+00:00,336
2024-10-21 00:00:00+00:00,337
2024-10-22 00:00:00+00:00,342
2024-10-24 00:00:00+00:00,345
2024-10-25 00:00:00+00:00,346
2024-10-26 00:00:00+00:00,347
2024-10-28 00:00:00+00:00,349
2024-10-30 00:00:00+00:00,351
2024-10-31 00:00:00+00:00,353
2024-11-01 00:00:00+00:00,355
2024-11-06 00:00:00+00:00,356
2024-11-07 00:00:00+00:00,357
2024-11-11 00:00:00+00:00,359
2024-11-12 00:00:00+00:00,360
2024-11-13 00:00:00+00:00,361
2024-11-14 00:00:00+00:00,362
2024-11-15 00:00:00+00:00,363
2024-11-17 00:00:00+00:00,364
2024-11-18 00:00:00+00:00,365
2024-11-21 00:00:00+00:00,367
2024-11-22 00:00:00+00:00,368
2024-11-25 00:00:00+00:00,369
2024-11-27 00:00:00+00:00,370
2024-11-28 00:00:00+00:00,372
2024-11-30 00:00:00+00:00,373
2024-12-01 00:00:00+00:00,374
2024-12-02 00:00:00+00:00,375
2024-12-03 00:00:00+00:00,377
2024-12-04 00:00:00+00:00,378
2024-12-05 00:00:00+00:00,379
2024-12-06 00:00:00+00:00,380
2024-12-08 00:00:00+00:00,381
2024-12-09 00:00:00+00:00,382
2024-12-10 00:00:00+00:00,384
2024-12-12 00:00:00+00:00,385
2024-12-13 00:00:00+00:00,387
2024-12-17 00:00:00+00:00,389
2024-12-18 00:00:00+00:00,390
2024-12-19 00:00:00+00:00,391
2024-12-23 00:00:00+00:00,392
2024-12-24 00:00:00+00:00,393
2024-12-27 00:00:00+00:00,395
2024-12-30 00:00:00+00:00,397
2025-01-02 00:00:00+00:00,398
2025-01-08 00:00:00+00:00,400
2025-01-11 00:00:00+00:00,401
2025-01-15 00:00:00+00:00,402
2025-01-17 00:00:00+00:00,403
2025-01-18 00:00:00+00:00,404
2025-01-23 00:00:00+00:00,405
2025-01-24 00:00:00+00:00,406
2025-01-26 00:00:00+00:00,407
2025-02-01 00:00:00+00:00,408
2025-02-03 00:00:00+00:00,409
2025-02-08 00:00:00+00:00,410
2025-02-12 00:00:00+00:00,411
2025-02-17 00:00:00+00:00,412
2025-02-20 00:00:00+00:00,414
2025-02-21 00:00:00+00:00,415
2025-02-24 00:00:00+00:00,416
2025-02-28 00:00:00+00:00,419
2025-03-05 00:00:00+00:00,420
2025-03-06 00:00:00+00:00,421
2025-03-07 00:00:00+00:00,422
2025-03-08 00:00:00+00:00,423
2025-03-10 00:00:00+00:00,424
2025-03-11 00:00:00+00:00,428
2025-03-12 00:00:00+00:00,431
2025-03-13 00:00:00+00:00,433
2025-03-15 00:00:00+00:00,434
2025-03-18 00:00:00+00:00,436
2025-03-20 00:00:00+00:00,437
2025-03-21 00:00:00+00:00,438
2025-03-27 00:00:00+00:00,439
2025-03-28 00:00:00+00:00,440
2025-03-29 00:00:00+00:00,441
2025-04-05 00:00:00+00:00,442
2025-04-08 00:00:00+00:00,443
2025-04-09 00:00:00+00:00,444
2025-04-13 00:00:00+00:00,445
2025-04-14 00:00:00+00:00,446
2025-04-15 00:00:00+00:00,448
2025-04-17 00:00:00+00:00,449
2025-04-18 00:00:00+00:00,452
2025-04-21 00:00:00+00:00,453
2025-04-22 00:00:00+00:00,455
2025-04-24 00:00:00+00:00,457
2025-04-26 00:00:00+00:00,458
2025-04-28 00:00:00+00:00,459
2025-04-29 00:00:00+00:00,461
2025-05-06 00:00:00+00:00,462
2025-05-08 00:00:00+00:00,463
2025-05-09 00:00:00+00:00,464
2025-05-10 00:00:00+00:00,465
2025-05-11 00:00:00+00:00,466
2025-05-13 00:00:00+00:00,467
2025-05-15 00:00:00+00:00,469
2025-05-16 00:00:00+00:00,470
2025-05-29 00:00:00+00:00,471
2025-05-30 00:00:00+00:00,472
2025-06-05 00:00:00+00:00,474
2025-06-09 00:00:00+00:00,475
2025-06-11 00:00:00+00:00,477
2025-06-12 00:00:00+00:00,478
2025-06-17 00:00:00+00:00,479
2025-06-18 00:00:00+00:00,480
2025-06-19 00:00:00+00:00,481
2025-06-29 00:00:00+00:00,482
2025-07-01 00:00:00+00:00,483
2025-07-03 00:00:00+00:00,484
2025-07-04 00:00:00+00:00,485
2025-07-07 00:00:00+00:00,486
