time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-06 00:00:00+00:00,18,18,379,33
2023-11-07 00:00:00+00:00,31,27,350,45
2023-11-08 00:00:00+00:00,50,32,183,32
2023-11-09 00:00:00+00:00,0,0,136,25
2023-11-10 00:00:00+00:00,2,2,149,25
2023-11-11 00:00:00+00:00,3,3,36,13
2023-11-12 00:00:00+00:00,3,3,31,19
2023-11-13 00:00:00+00:00,4,4,194,28
2023-11-14 00:00:00+00:00,26,19,313,30
2023-11-15 00:00:00+00:00,30,22,286,33
2023-11-16 00:00:00+00:00,14,12,172,22
2023-11-17 00:00:00+00:00,27,17,153,27
2023-11-18 00:00:00+00:00,2,2,88,11
2023-11-19 00:00:00+00:00,41,22,217,12
2023-11-20 00:00:00+00:00,65,34,191,31
2023-11-21 00:00:00+00:00,3,3,212,30
2023-11-22 00:00:00+00:00,31,20,276,37
2023-11-23 00:00:00+00:00,63,26,295,38
2023-11-24 00:00:00+00:00,11,10,199,26
2023-11-25 00:00:00+00:00,34,19,123,10
